date,day,corona_stage,red_day
2020-02-01,Saturday,0,1
2020-02-02,Sunday,0,1
2020-02-03,Monday,0,0
2020-02-04,Tuesday,0,0
2020-02-05,Wednesday,0,0
2020-02-06,Thursday,0,0
2020-02-07,Friday,0,0
2020-02-08,Saturday,0,1
2020-02-09,Sunday,0,1
2020-02-10,Monday,0,0
2020-02-11,Tuesday,0,0
2020-02-12,Wednesday,0,0
2020-02-13,Thursday,0,0
2020-02-14,Friday,0,0
2020-02-15,Saturday,0,1
2020-02-16,Sunday,0,1
2020-02-17,Monday,0,0
2020-02-18,Tuesday,0,0
2020-02-19,Wednesday,0,0
2020-02-20,Thursday,0,0
2020-02-21,Friday,0,0
2020-02-22,Saturday,0,1
2020-02-23,Sunday,0,1
2020-02-24,Monday,0,0
2020-02-25,Tuesday,0,0
2020-02-26,Wednesday,0,0
2020-02-27,Thursday,0,0
2020-02-28,Friday,0,0
2020-02-29,Saturday,0,1
2020-03-01,Sunday,0,1
2020-03-02,Monday,0,0
2020-03-03,Tuesday,0,0
2020-03-04,Wednesday,0,0
2020-03-05,Thursday,0,0
2020-03-06,Friday,0,0
2020-03-07,Saturday,0,1
2020-03-08,Sunday,0,1
2020-03-09,Monday,0,0
2020-03-10,Tuesday,0,0
2020-03-11,Wednesday,0,0
2020-03-12,Thursday,0,0
2020-03-13,Friday,0,0
2020-03-14,Saturday,0,1
2020-03-15,Sunday,0,1
2020-03-16,Monday,0,0
2020-03-17,Tuesday,0,0
2020-03-18,Wednesday,0,0
2020-03-19,Thursday,0,0
2020-03-20,Friday,0,0
2020-03-21,Saturday,0,1
2020-03-22,Sunday,3,1
2020-03-23,Monday,3,0
2020-03-24,Tuesday,3,0
2020-03-25,Wednesday,3,0
2020-03-26,Thursday,3,0
2020-03-27,Friday,3,0
2020-03-28,Saturday,3,1
2020-03-29,Sunday,3,1
2020-03-30,Monday,3,0
2020-03-31,Tuesday,3,0
2020-04-01,Wednesday,3,0
2020-04-02,Thursday,3,0
2020-04-03,Friday,3,0
2020-04-04,Saturday,3,1
2020-04-05,Sunday,3,1
2020-04-06,Monday,3,0
2020-04-07,Tuesday,3,0
2020-04-08,Wednesday,3,0
2020-04-09,Thursday,3,0
2020-04-10,Friday,3,0
2020-04-11,Saturday,3,1
2020-04-12,Sunday,3,1
2020-04-13,Monday,3,0
2020-04-14,Tuesday,3,0
2020-04-15,Wednesday,3,1
2020-04-16,Thursday,3,0
2020-04-17,Friday,3,0
2020-04-18,Saturday,3,1
2020-04-19,Sunday,3,1
2020-04-20,Monday,2,0
2020-04-21,Tuesday,2,0
2020-04-22,Wednesday,2,0
2020-04-23,Thursday,2,0
2020-04-24,Friday,2,0
2020-04-25,Saturday,2,1
2020-04-26,Sunday,2,1
2020-04-27,Monday,2,0
2020-04-28,Tuesday,2,0
2020-04-29,Wednesday,2,0
2020-04-30,Thursday,2,1
2020-05-01,Friday,2,1
2020-05-02,Saturday,2,1
2020-05-03,Sunday,2,1
2020-05-04,Monday,2,0
2020-05-05,Tuesday,2,1
2020-05-06,Wednesday,1,0
2020-05-07,Thursday,1,0
2020-05-08,Friday,1,0
2020-05-09,Saturday,1,1
2020-05-10,Sunday,1,1
2020-05-11,Monday,1,0
2020-05-12,Tuesday,1,0
2020-05-13,Wednesday,1,0
2020-05-14,Thursday,1,0
2020-05-15,Friday,1,0
2020-05-16,Saturday,1,1
2020-05-17,Sunday,1,1
2020-05-18,Monday,1,0
2020-05-19,Tuesday,1,0
2020-05-20,Wednesday,1,0
2020-05-21,Thursday,1,0
2020-05-22,Friday,1,0
2020-05-23,Saturday,1,1
2020-05-24,Sunday,1,1
2020-05-25,Monday,1,0
2020-05-26,Tuesday,1,0
2020-05-27,Wednesday,1,0
2020-05-28,Thursday,1,0
2020-05-29,Friday,1,0
2020-05-30,Saturday,1,1
2020-05-31,Sunday,1,1
2020-06-01,Monday,1,0
2020-06-02,Tuesday,1,0
2020-06-03,Wednesday,1,0
2020-06-04,Thursday,1,0
2020-06-05,Friday,1,0
2020-06-06,Saturday,1,1
2020-06-07,Sunday,1,1
2020-06-08,Monday,1,0
2020-06-09,Tuesday,1,0
2020-06-10,Wednesday,1,0
2020-06-11,Thursday,1,0
2020-06-12,Friday,1,0
2020-06-13,Saturday,1,1
2020-06-14,Sunday,1,1
2020-06-15,Monday,1,0
2020-06-16,Tuesday,1,0
2020-06-17,Wednesday,1,0
2020-06-18,Thursday,1,0
2020-06-19,Friday,1,0
2020-06-20,Saturday,1,1
2020-06-21,Sunday,1,1
2020-06-22,Monday,1,0
2020-06-23,Tuesday,1,0
2020-06-24,Wednesday,1,0
2020-06-25,Thursday,1,0
2020-06-26,Friday,1,0
2020-06-27,Saturday,1,1
2020-06-28,Sunday,1,1
2020-06-29,Monday,1,0
2020-06-30,Tuesday,1,0
2020-07-01,Wednesday,1,0
2020-07-02,Thursday,1,0
2020-07-03,Friday,1,0
2020-07-04,Saturday,1,1
2020-07-05,Sunday,1,1
2020-07-06,Monday,1,0
2020-07-07,Tuesday,1,0
2020-07-08,Wednesday,1,0
2020-07-09,Thursday,1,0
2020-07-10,Friday,1,0
2020-07-11,Saturday,1,1
2020-07-12,Sunday,1,1
2020-07-13,Monday,1,0
2020-07-14,Tuesday,1,0
2020-07-15,Wednesday,1,0
2020-07-16,Thursday,1,0
2020-07-17,Friday,1,0
2020-07-18,Saturday,1,1
2020-07-19,Sunday,1,1
2020-07-20,Monday,1,0
2020-07-21,Tuesday,1,0
2020-07-22,Wednesday,1,0
2020-07-23,Thursday,1,0
2020-07-24,Friday,1,0
2020-07-25,Saturday,1,1
2020-07-26,Sunday,1,1
2020-07-27,Monday,1,0
2020-07-28,Tuesday,1,0
2020-07-29,Wednesday,1,0
2020-07-30,Thursday,1,0
