역명,상세주소,경도,위도,상태
서울,서울특별시 중구 봉래동2가 122 서울역(1호선),126.96956278438499,37.5581563065703,정좌표
시청,서울특별시 중구 정동 5-5 시청역(1호선),126.97691914569599,37.565597428105995,정좌표
종각,서울특별시 종로구 종로1가 54 종각지하철역사,126.981390349868,37.570222296026,정좌표
종로5가,서울특별시 종로구 종로5가 82-1 1호선 종로5가역,127.00192490472,37.571020259719795,정좌표
동대문,서울특별시 종로구 창신동 492-1 1호선 동대문역(1호선),127.011233106729,37.5717593692603,정좌표
신설동,서울특별시 동대문구 신설동 76-5 신설동역(1호선),127.025935308442,37.57644921025321,정좌표
제기동,서울특별시 동대문구 제기동 65 제기동역,127.03884285069701,37.578554773228795,정좌표
청량리(서울시립대입구),서울특별시 동대문구 전농동 620-69 청량리역,127.046001038347,37.5798088661541,정좌표
동묘앞,서울특별시 종로구 숭인동 117 동묘앞역(1호선),127.017115041838,37.57358905374279,정좌표
시청,서울특별시 중구 서소문동 90-1 시청역(2호선),126.975501955169,37.5635591188368,정좌표
을지로입구,서울특별시 중구 을지로1가 100-1 을지로입구역,126.98205879049499,37.566048730321604,정좌표
을지로3가,서울특별시 중구 을지로3가 347-3 을지로3가역(2호선),126.990202701784,37.5661993831165,정좌표
을지로4가,서울특별시 중구 을지로4가 267-1 을지로4가역(2호선),126.99651739789101,37.5665188120663,정좌표
동대문역사문화공원,서울특별시 중구 을지로 7가 112-3 동대문역사문화공원역(2호선),127.008536250465,37.5657648707438,정좌표
신당,서울특별시 중구 신당동 99 신당역(2호선),127.020041139346,37.5654226225819,정좌표
상왕십리,서울특별시 성동구 하왕십리동 946-14 상왕십리역,127.029787664214,37.5639713867981,정좌표
왕십리(성동구청),서울특별시 성동구 행당동 192 왕십리역(2호선),127.037101978098,37.5625838056,인근좌표
한양대,서울특별시 성동구 행당동 산17 17 한양대역,127.04122926272301,37.5588541951045,인근좌표
뚝섬,서울특별시 성동구 성수동1가 656-745 뚝섬역,127.04478217348301,37.5481859323055,인근좌표
성수,서울특별시 성동구 성수동2가 300-1 성수역,127.056958551575,37.5446739039167,정좌표
건대입구,서울특별시 광진구 화양동 7-3 2호선 건대입구역(2호선),127.06900649472601,37.5408068999479,정좌표
구의(광진구청),서울특별시 광진구 구의동 245-24 2호선 구의역,127.089003780778,37.5380601185718,정좌표
강변(동서울터미널),서울특별시 광진구 구의동 546-6 2호선 강변역,127.094520017358,37.535372973280296,정좌표
잠실나루,서울특별시 송파구 신천동 15 잠실나루역,127.10473236701,37.5189229121253,정좌표
잠실(송파구청),서울특별시 송파구 잠실동 8 잠실역(2호선),127.07464125872801,37.5176938833065,정좌표
잠실새내,서울특별시 송파구 잠실동 33 잠실새내역,127.08917008005301,37.5115402392597,정좌표
종합운동장,서울특별시 송파구 잠실동 122 종합운동장역,127.074264964408,37.511098281359,정좌표
삼성(무역센터),서울특별시 강남구 삼성동 172-66 삼성역,127.058001944336,37.5074000214015,정좌표
선릉,서울특별시 강남구 삼성동 172-66 선릉역,127.058001944336,37.5074000214015,정좌표
역삼,서울특별시 강남구 역삼동 804 역삼역,127.038307432828,37.5012398728691,정좌표
강남,서울특별시 강남구 역삼동 858 강남역,127.02815636174,37.4970466631954,정좌표
교대(법원·검찰청),서울특별시 서초구 서초동 1748-4 교대역(2호선),127.01731403802499,37.4948650703008,정좌표
서초,서울특별시 서초구 서초동 1748-5 서초역,127.01055324232401,37.492787946436295,정좌표
방배,서울특별시 서초구 방배동 912-14 방배역,126.99700248301501,37.4812700689769,정좌표
사당,서울특별시 동작구 사당동 1129 사당역(2호선),126.976342028676,37.4764177146276,정좌표
낙성대,서울특별시 관악구 봉천동 1693-39 2호선 낙성대역사,126.965672032386,37.4763531149159,정좌표
서울대입구(관악구청),서울특별시 관악구 봉천동 979-2 서울대입구역사,126.951592673035,37.481232832858794,정좌표
신림,서울특별시 관악구 신림동 1467-10 2호선 신림역사,126.928908100721,37.4843195531459,정좌표
신대방,서울특별시 동작구 신대방동 643-1 신대방역 2호선,126.91293616941401,37.487538106212604,정좌표
구로디지털단지,서울특별시 구로구 구로동 810-3 구로디지털단지역,126.901053528738,37.4853522743555,정좌표
대림(구로구청),서울특별시 구로구 구로동 1204 대림역(2호선),126.894775639333,37.493420425788706,정좌표
신도림,서울특별시 구로구 신도림동 460-26 2호선 신도림역,126.891084441265,37.5087266427965,정좌표
문래,서울특별시 영등포구 문래동3가 68-1문래역,126.894555814692,37.5182599883888,정좌표
영등포구청,서울특별시 영등포구 당산동3가 270-1 영등포구청역(2호선),126.896837872265,37.525354798388705,정좌표
당산,서울특별시 영등포구 당산동 6가 323-1 당산역,126.90259059511101,37.535201656206496,정좌표
합정,서울특별시 마포구 서교동 393 합정역(2호선),126.915134234343,37.55101338335321,인근좌표
홍대입구,서울특별시 마포구 동교동 165 홍대입구역,126.92413324261601,37.5567424913726,인근좌표
신촌,서울특별시 마포구 노고산동 31-11 신촌역,126.937536725427,37.5546632723005,정좌표
이대,서울특별시 마포구 염리동 8-85 이대역,126.94770487882299,37.5568410823871,정좌표
아현,서울특별시 마포구 아현동 354-23 아현역,126.954789505007,37.5566923196275,정좌표
충정로(경기대입구),서울특별시 서대문구 충정로3가 319-1 충정로역(2호선),126.963844663272,37.5595286099011,정좌표
용답,서울특별시 성동구 용답동 127 용답역,127.049650075261,37.5668609995012,정좌표
신답,서울특별시 성동구 용답동 129-2 신답역,127.045412529042,37.5706859959756,정좌표
용두(동대문구청),서울특별시 동대문구 용두동 47-1 용두역,127.03837651361401,37.5754295097539,정좌표
신설동,서울특별시 동대문구 신설동 76-5 신설동역(2호선),127.025935308442,37.57644921025321,정좌표
도림천,서울특별시 구로구 신도림동 323-16 도림천역,126.88294620414301,37.514270448983495,정좌표
양천구청,서울특별시 양천구 신정동 276-7 양천구청역,126.865720311381,37.5125540115376,정좌표
신정네거리,서울특별시 양천구 신정동 1231 신정네거리역,126.853604424331,37.5183177301515,정좌표
까치산,서울특별시 강서구 화곡동 662-5 까치산역,126.84623525559601,37.532526527695396,정좌표
지축,경기도 고양시 덕양구 지축동 818-64 3호선 지축역,126.91134446810301,37.6487808972061,정좌표
구파발,서울특별시 은평구 진관동 67-26 3호선 구파발역사무소,126.918520821884,37.6375687596691,정좌표
연신내,서울특별시 은평구 갈현동 397 연신내역(3호선),126.920826353328,37.6189210496265,정좌표
불광,서울특별시 은평구 대조동 14-1 불광역(3호선),126.929272425555,37.6105259768066,정좌표
녹번,서울특별시 은평구 녹번동 55 지하철3호선 녹번역,126.93572973049999,37.601059302181895,정좌표
홍제,서울특별시 서대문구 홍제동 161-1 홍제역,126.945296901627,37.5876805910639,정좌표
무악재,서울특별시 서대문구 홍제동 26-1 무악재역,126.950543401346,37.582416941922105,정좌표
독립문,서울특별시 서대문구 현저동 101 독립문역,126.956143570853,37.5742067558702,정좌표
경복궁(정부서울청사),서울특별시 종로구 적선동 81-1 3호선 경복궁역,126.973180922795,37.575750306599204,정좌표
안국,서울특별시 종로구 안국동 155-2 3호선 안국역,126.98477151608,37.576473061509205,인근좌표
종로3가,서울특별시 종로구 묘동 59 종로3가역(3호선),126.99213647861099,37.571361856542296,인근좌표
을지로3가,서울특별시 중구 을지로3가 282-8 을지로3가역(3호선),126.993606696032,37.5663983844425,정좌표
충무로,"서울특별시 중구 필동2가 16-2 충무로역(3, 4호선)",126.994303562768,37.561198442031795,정좌표
동대입구,서울특별시 중구 장충동2가 199-3 동대입구역 3호선,127.005087030488,37.5592027135917,정좌표
약수,서울특별시 중구 신당동 369-44 약수역(3호선),127.010965762639,37.5544382076881,정좌표
금호,서울특별시 성동구 금호동4가 1470 금호역,127.015782103571,37.548108910787796,인근좌표
옥수,서울특별시 성동구 옥수동 168-1 옥수역,127.017761427799,37.540041304454604,정좌표
압구정,서울특별시 강남구 신사동 668 압구정역,127.028284351786,37.5235332250265,정좌표
신사,서울특별시 강남구 신사동 667 신사역,127.018727144572,37.5196625215311,정좌표
잠원,서울특별시 서초구 잠원동 100-1 잠원역,127.011733832274,37.5130590971946,정좌표
고속터미널,서울특별시 서초구 반포동 19-11 고속터미널역(3호선),127.004850914496,37.5048391713324,정좌표
교대(법원·검찰청),서울특별시 서초구 서초동 1748-4 교대역(3호선),127.01731403802499,37.4948650703008,정좌표
남부터미널(예술의전당),서울특별시 서초구 서초동 1748-30 남부터미널역,127.01532752514099,37.486634060246,정좌표
양재(서초구청),서울특별시 서초구 서초동 1366-9 양재역,127.03336043535101,37.484769340336705,정좌표
매봉,서울특별시 강남구 도곡동 179-2 매봉역,127.04665667233299,37.486984486386,정좌표
도곡,서울특별시 강남구 도곡동 339-2 도곡역,127.054897115632,37.4907099411179,정좌표
대치,서울특별시 강남구 대치동 317-3 대치역,127.063235069829,37.4945183032655,정좌표
학여울,서울특별시 강남구 대치동 514-3 학여울역,127.071816124054,37.4967246087307,정좌표
대청,서울특별시 강남구 일원동 700-9 대청역,127.07953604749399,37.493648893805705,정좌표
일원,서울특별시 강남구 일원동 717 일원역,127.08442776256399,37.4839922695395,정좌표
수서,서울특별시 강남구 수서동 728 수서역,127.10055569311001,37.488248853197206,정좌표
가락시장,서울특별시 송파구 가락동 184-23 가락시장역,127.11819157744301,37.492906507613,정좌표
경찰병원,서울특별시 송파구 가락동 10-15 경찰병원역,127.125613644711,37.4982586978049,정좌표
오금,서울특별시 송파구 오금동 44-2 오금역,127.126143514308,37.5034036922304,정좌표
당고개,서울특별시 노원구 상계동 111 당고개역,127.079303686494,37.6705968657312,정좌표
상계,서울특별시 노원구 상계동 156-203 상계역,127.07360292288,37.6610484350356,정좌표
노원,서울특별시 노원구 상계동 602-5 노원역(4호선),127.06236959956199,37.656106092075895,정좌표
창동,서울특별시 도봉구 창동 135-1 창동역,127.047654565375,37.653368656431,정좌표
쌍문,서울특별시 도봉구 창동 703-4 쌍문역,127.035059914538,37.649048619054604,정좌표
수유(강북구청),서울특별시 강북구 수유동 140 수유역,127.02417838114799,37.6402791582715,정좌표
미아(서울사이버대학),서울특별시 강북구 미아동 194-1 미아역,127.024719921806,37.6294444584692,정좌표
미아사거리,서울특별시 강북구 미아동 66-1 미아사거리역,127.03000683519899,37.6149833557977,정좌표
길음,서울특별시 성북구 길음동 877-66 길음역,127.02526227294099,37.6042236116731,인근좌표
성신여대입구(돈암),서울특별시 성북구 동선동4가 1 성신여대입구역,127.016755155755,37.5930890918792,정좌표
한성대입구(삼선교),서울특별시 성북구 삼선동1가 14 한성대입구역,127.005784390079,37.588064480037296,정좌표
혜화,서울특별시 종로구 명륜4가 96-5 4호선 혜화역,127.001789689836,37.582123636300395,정좌표
동대문,서울특별시 종로구 종로6가 287-1 동대문역(4호선),127.00941486629,37.57061693319471,정좌표
동대문역사문화공원,서울특별시 중구 광희동2가 9 동대문역사문화공원역(4호선),127.007290035338,37.5646833303525,정좌표
충무로,"서울특별시 중구 필동2가 16-2 충무로역(3, 4호선)",126.994303562768,37.561198442031795,정좌표
명동,서울특별시 중구 충무로2가 109-2 명동역 4호선,126.985709972634,37.5608296864705,정좌표
회현(남대문시장),서울특별시 중구 남창동 64-1 회현역 4호선,126.97762305976102,37.5588471118515,정좌표
숙대입구(갈월),서울특별시 용산구 갈월동 16-7 숙대입구역,126.97191482797399,37.5455545551386,정좌표
삼각지,서울특별시 용산구 한강로1가 228-1 삼각지역(4호선),126.973196671288,37.534642221923,정좌표
신용산,서울특별시 용산구 한강로2가 181 4호선 신용산역,126.968030164448,37.529259155984,인근좌표
이촌(국립중앙박물관),서울특별시 용산구 용산동5가 17-112 4호선 이촌역,126.97535352831801,37.52193924479,정좌표
동작(현충원),서울특별시 동작구 동작동 327-1 4호선 동작역,126.97996124246,37.5028501054034,정좌표
총신대입구(이수),서울특별시 동작구 사당동 736-1 총신대역4호선,126.98225496822201,37.4880611736515,정좌표
사당,서울특별시 동작구 사당동 588-4 사당역(4호선),126.98164493105301,37.4770765220868,인근좌표
남태령,서울특별시 서초구 방배동 2909 남태령역,126.989254143414,37.464367068970006,정좌표
방화,서울특별시 강서구 방화동 829-15 방화역,126.812642982962,37.577247207121,정좌표
개화산,서울특별시 강서구 방화동 846 개화산역,126.805732376171,37.572301794112,정좌표
김포공항,서울특별시 강서구 방화동 886 김포공항역,126.802966434014,37.565047185801795,정좌표
송정,서울특별시 강서구 공항동 29-5 송정역,126.81048078522801,37.5614673093579,정좌표
마곡,서울특별시 강서구 가양동 530-6 마곡역,126.85830272668998,37.559455333513,인근좌표
발산,서울특별시 강서구 가양동 967-3 발산역,126.842285408084,37.572973043329995,인근좌표
우장산,서울특별시 강서구 화곡동 1089-3 우장산역,126.836388847114,37.549212518156,정좌표
화곡,서울특별시 강서구 화곡동 1089-54 화곡역,126.840770883293,37.5412218132304,정좌표
까치산,서울특별시 강서구 화곡동 662-5 까치산역(5호선),126.84623525559601,37.532526527695396,정좌표
신정(은행정),서울특별시 양천구 신정동 1090 신정역,126.85426219656601,37.5247180414131,정좌표
목동,서울특별시 양천구 목동 926-3 목동역,126.86613354109501,37.5259936866746,정좌표
오목교(목동운동장앞),서울특별시 양천구 목동 406-30 오목교역,126.87398505924801,37.524666858563705,정좌표
양평,서울특별시 영등포구 양평동2가 33-79 양평역 ,126.885929722886,37.5253077154984,정좌표
영등포구청,서울특별시 영등포구 당산동3가 556-1 영등포구청역(5호선),126.894318774298,37.52440414982429,정좌표
영등포시장,서울특별시 영등포구 영등포동5가 62-1 영등포시장역,126.905656987903,37.522215588403,정좌표
신길,서울특별시 영등포구 영등포동1가 35 신길역,126.91448485249201,37.51770199712121,정좌표
여의도,서울특별시 영등포구 여의도동 3 여의도역,126.92691109624901,37.5232381572404,정좌표
여의나루,서울특별시 영등포구 여의도동 84-4 여의나루역,126.932486164967,37.5281617491826,정좌표
마포,서울특별시 마포구 도화동 160 마포역,126.946771444071,37.5380903207721,인근좌표
